,nickname,link,img_link,votes,comments_time,comments
0,沙雕电影,https://www.douban.com/people/185573840/,https://img3.doubanio.com/icon/u185573840-2.jpg,26086,"
                    2019-02-05
                ",一个悲伤的故事：太阳都要毁灭，地球都要流浪了，我国的校服还是这么丑......
1,侠侠,https://www.douban.com/people/40082523/,https://img3.doubanio.com/icon/u40082523-2.jpg,29399,"
                    2019-02-05
                ",真为吴京的演技尴尬，总是摆出一副大义凌然的样子，好奇为什么刘的作品中总有这种傻逼般的圣母存在。作为一个中校，对与错命令与否完全没有概念，冒着地球灭绝的同时让仅有的希望之种空间站也都消失的可能性，一个是全人类一个是个人感情，谁更重要分不清就不要当军人了谢谢。浪费这么好的题材设定，吐
2,嘟嘟熊之父,https://www.douban.com/people/duduxiongzhifu/,https://img3.doubanio.com/icon/u2201715-15.jpg,61072,"
                    2019-01-28
                ",还能更土更儿戏一点吗？毫无思考仅靠煽动，毫无敬畏仅余妄想。好的科幻片应该首先承认人类的无知，并跳出人类的视角去看待人与宇宙的关系，而不是一头扎入狭隘的家庭纠纷与大国情怀中自作聪明自我感动。被吹到不行的特效如同导演抡圆了膀子朝观众脸上砸各种金银珠宝，闪到不行但全无美感。有人说作为中国第一部硬科幻电影，不要跟美国比，只想说这宣传攻势票房体量已经超越大多数好莱坞商业大片了，凭啥不能和人家比？所以评价《流浪地球》很简单，你把片中所有角色换成美国人，然后再想想自己愿意打几星。
3,影志,https://www.douban.com/people/tjz230/,https://img1.doubanio.com/icon/u1005928-127.jpg,61578,"
                    2019-02-04
                ",电影比预期要更恢弘磅礴，晨昏线过后的永夜、火种计划、让地球流浪、木星推动地球…等等大小设定，没想到中国也能拍这么大架构、大格局的科幻片了，而且是第一部，了不得。以前看国外科幻感觉离我们很远，这一次看到熟悉的北京大裤衩、上海东方明珠都变成零下89°冰天冻地的末世场景，既猎奇又唏嘘。虽然在剧情上有套路，对于这部中国文化背景下的科幻新生儿，鼓励多于挑剔。导演说美国人拍科幻是放弃地球、去挖掘新的人类居住地，而中国人是不放弃地球、守住家土的情怀…“希望是我们回家的唯一方向”
4,陆支羽,https://www.douban.com/people/luzhiyu/,https://img3.doubanio.com/icon/u2866549-132.jpg,52492,"
                    2019-01-29
                ",1.终于，轮到我们仰望星空。2.后启示录死亡废墟，赛博朋克地下城，以及烟波浩渺的末日想象，缔造了真正意义上的第一部国产硬科幻。3.拖着地球逃离太阳系的惊艳设定，本身便是对“家国情怀”的宏大投射，正应了刘慈欣那句“太阳死了，人还活着”。4.绝不仅仅只是电影工业巨壳下的类型尝试，始终荡涤其间的悲壮气息已然具备了史诗级质感，这是大刘的脑洞宇宙与电影创作团队精益求精造就的惊喜。5.屈楚萧很带感，演活了一个勇敢、中二又不失温情的英雄少年。6.期待能成爆款吧，这样才有机会等到更多的国产科幻电影；或许以后会出现更好的，但至今这无疑是最好的。
5,艾晨,https://www.douban.com/people/satan163/,https://img3.doubanio.com/icon/u1140816-93.jpg,14431,"
                    2019-01-28
                ",三星鼓励一下吧，四个字：太儿戏了。硬科幻和硬要科幻是两回事。
6,路有冻死宇,https://www.douban.com/people/47227767/,https://img3.doubanio.com/icon/u47227767-13.jpg,13207,"
                    2019-02-05
                ",快要把我震死在影院座椅上了。影片有科幻设定而无科幻精神，每个人物都处于被集体主义长期坑害的大脑缺氧状态。尬燃尬煽加尬聊，镜头交代极其潦草，你在片中常常能看到这种剪辑――前十秒任务车辆行驶在一条高空坠物加地面崩坏的险境，观众紧张得脚趾都弓起在鞋里，而最后脱离危险的瞬间却被离奇地省略，继续朝前迈进了。整部电影就是这样一副打肿脸充胖子的模样，纵使安插再多百度百科程度的历史梗也难以真的唤起人类共鸣。我不知道4.2光年外等待人类的恒星处于何种境况，但几乎可以确定再来100部这样的重型土鳖电影人类一定会因绝望而抑郁至死。
7,我是王大鹏啊！,https://www.douban.com/people/cheer.o/,https://img1.doubanio.com/icon/u2986042-477.jpg,11163,"
                    2019-01-28
                ",失望 一群聒噪的角色让人忍不住觉得地球还是毁灭了比较好
8,妖孽,https://www.douban.com/people/52669767/,https://img1.doubanio.com/icon/user_normal.jpg,11262,"
                    2019-02-05
                ",野心远远大于能力的作品。大刘小说打底，导演用影视化视觉实现了大部分想象，敢想敢做！远超预期，牛B，但也仅自于此了。故事一塌糊涂，世界观做的如此粗糙，叙事完全不讲逻辑，人物动机行为全都莫名其妙不能理解，台词在电影里算的上数一数二的烂，最恶心的是国人文化自豪情绪被名目张胆刺裸裸的利用成商业行为，明明稍微用点心思就可以更好一点，偏不！导演编剧仿佛在对你说，故事差不多得了，太深了他们看不懂，就是要俗气，直白，最要紧的是中国人要拯救地球，吴京要操翻世界联合政府，中国就爱看这个。中国人就只，配，看这样的科幻故事！对啊！看看这些评论，就只配看这样的科幻故事。白瞎了这样的制作！白瞎了中国人自己的硬科团队！
9,gus,https://www.douban.com/people/168391468/,https://img3.doubanio.com/icon/u168391468-1.jpg,10383,"
                    2019-02-05
                ",台词做作剧情薄弱没一个演员在线 无时无刻的尬笑走心台词还以为编剧是激素泛滥的中年少女 感觉看了一部战狼3 最后小女生用一篇激情澎湃的即兴小学生作文感动了全球救援队 中国梦实现了！
